Ticker,Sector,Industry,Full Time Emp
KLIC,Technology,Semiconductor Equipment & Materials,2544
KN,Technology,Communication Equipment,8500
KNSL,Financial Services,Insurance-Property & Casualty,275
KOP,Basic Materials,Specialty Chemicals,2120
KRA,Basic Materials,Specialty Chemicals,1944
KREF,Real Estate,REIT-Mortgage,0
KRG,Real Estate,REIT-Retail,133
KTB,Consumer Cyclical,Apparel Manufacturing,15100
KWR,Basic Materials,Specialty Chemicals,4500
LCI,Healthcare,Drug Manufacturers-Specialty & Generic,954
LCII,Consumer Cyclical,Recreational Vehicles,10500
LDL,Industrials,Specialty Industrial Machinery,3250
LGIH,Consumer Cyclical,Residential Construction,953
LL,Consumer Cyclical,Home Improvement Retail,2090
LMAT,Healthcare,Medical Instruments & Supplies,454
LMNX,Healthcare,Medical Instruments & Supplies,1257
LNN,Industrials,Farm & Heavy Construction Machinery,1125
LNTH,Healthcare,Diagnostics & Research,508
LOCO,Consumer Cyclical,Restaurants,5005
LPG,Energy,Oil & Gas Midstream,585
LPI,Energy,Oil & Gas E&P,280
LPSN,Technology,Software-Application,1213
LQDT,Consumer Cyclical,Internet Retail,574
LTC,Real Estate,REIT-Healthcare Facilities,22
LTHM,Basic Materials,Specialty Chemicals,800
LXP,Real Estate,REIT-Diversified,57
LZB,Consumer Cyclical,"Furnishings, Fixtures & Appliances",9500
M,Consumer Cyclical,Department Stores,123000
MANT,Technology,Software-Application,8900
MATW,Industrials,Conglomerates,11000
MATX,Industrials,Marine Shipping,1988
MCRI,Consumer Cyclical,Resorts & Casinos,2300
MCS,Communication Services,Entertainment,3465
MD,Healthcare,Medical Care Facilities,9480
MDC,Consumer Cyclical,Residential Construction,1656
MDP,Communication Services,Publishing,5290
MDRX,Healthcare,Health Information Services,9600
MED,Consumer Cyclical,Personal Services,550
MEI,Technology,Electronic Components,6044
MERC,Basic Materials,Paper & Paper Products,2325
MGLN,Healthcare,Healthcare Plans,10100
MGPI,Consumer Defensive,Packaged Foods,341
MHO,Consumer Cyclical,Residential Construction,1401
MIK,Consumer Cyclical,Specialty Retail,12000
MLAB,Technology,Scientific & Technical Instruments,460
MLI,Industrials,Metal Fabrication,4964
MMI,Real Estate,Real Estate Services,877
MMSI,Healthcare,Medical Instruments & Supplies,6000
MNRO,Consumer Cyclical,Auto Parts,8184
MOV,Consumer Cyclical,Luxury Goods,1145
MPAA,Consumer Cyclical,Auto Parts,4012
MRTN,Industrials,Trucking,4087
MSTR,Technology,Software-Application,2073
MTDR,Energy,Oil & Gas E&P,304
MTH,Consumer Cyclical,Residential Construction,1510
MTOR,Consumer Cyclical,Auto Parts,8600
MTRN,Basic Materials,Other Industrial Metals & Mining,2600
MTRX,Energy,Oil & Gas Equipment & Services,2900
MTSC,Technology,Scientific & Technical Instruments,3500
MXL,Technology,Semiconductors,697
MYE,Consumer Cyclical,Packaging & Containers,1640
MYGN,Healthcare,Diagnostics & Research,2700
MYRG,Industrials,Engineering & Construction,7100
NBHC,Financial Services,Banks-Regional,1229
NBR,Energy,Oil & Gas Drilling,14000
NBTB,Financial Services,Banks-Regional,1788
NEO,Healthcare,Diagnostics & Research,1700
NFBK,Financial Services,Banks-Regional,357
NMIH,Financial Services,Insurance-Property & Casualty,261
NP,Basic Materials,Paper & Paper Products,2324
NPK,Industrials,Aerospace & Defense,919
NPO,Industrials,Specialty Industrial Machinery,5300
NSA,Real Estate,REIT-Industrial,459
NSIT,Technology,Information Technology Services,11261
NTGR,Technology,Communication Equipment,803
NTUS,Healthcare,Medical Devices,1484
NWBI,Financial Services,Banks-Regional,2523
NWN,Utilities,Utilities-Regulated Gas,1200
NX,Industrials,Building Products & Equipment,3767
NXGN,Healthcare,Health Information Services,2754
NXRT,Real Estate,REIT-Residential,3
NYMT,Real Estate,REIT-Mortgage,55
ODP,Consumer Cyclical,Specialty Retail,40000
OFG,Financial Services,Banks-Regional,2405
OFIX,Healthcare,Medical Devices,1055
OII,Energy,Oil & Gas Equipment & Services,9100
OIS,Energy,Oil & Gas Equipment & Services,2337
OMCL,Healthcare,Health Information Services,2670
OMI,Healthcare,Medical Distribution,15400
ONB,Financial Services,Banks-Regional,2484
ONTO,Technology,Semiconductors,1340
OPI,Real Estate,REIT-Office,0
OSIS,Technology,Electronic Components,6758
OSPN,Technology,Software-Application,789
OSUR,Healthcare,Medical Instruments & Supplies,472
OXM,Consumer Cyclical,Apparel Manufacturing,6100
PAHC,Healthcare,Drug Manufacturers-Specialty & Generic,1700
PARR,Energy,Oil & Gas Refining & Marketing,1408
PATK,Consumer Cyclical,Recreational Vehicles,7500
PBF,Energy,Oil & Gas Refining & Marketing,3442
PBI,Industrials,Business Equipment & Supplies,11000
PCRX,Healthcare,Drug Manufacturers-Specialty & Generic,606
PDCE,Energy,Oil & Gas E&P,540
PDFS,Technology,Software-Application,353
PETS,Healthcare,Pharmaceutical Retailers,214
PFBC,Financial Services,Banks-Regional,279
PFS,Financial Services,Banks-Regional,968
PGTI,Industrials,Building Products & Equipment,3000
PIPR,Financial Services,Capital Markets,1510
PKE,Industrials,Aerospace & Defense,136
PLAB,Technology,Semiconductor Equipment & Materials,1728
PLAY,Consumer Cyclical,Restaurants,15908
PLCE,Consumer Cyclical,Apparel Retail,3900
PLMR,Financial Services,Insurance-Property & Casualty,77
PLT,Technology,Communication Equipment,6584
PLUS,Technology,Software-Application,1497
PLXS,Technology,Electronic Components,19500
PMT,Real Estate,REIT-Mortgage,1
PNTG,Healthcare,Medical Care Facilities,4700
POWI,Technology,Semiconductors,699
POWL,Industrials,Electrical Equipment & Parts,1997
PPBI,Financial Services,Banks-Regional,989
PRA,Financial Services,Insurance-Property & Casualty,961
PRAA,Financial Services,Credit Services,3811
PRDO,Consumer Defensive,Education & Training Services,2250
PRFT,Technology,Information Technology Services,3454
PRGS,Technology,Software-Application,1538
PRK,Financial Services,Banks-Regional,1907
PRLB,Industrials,Metal Fabrication,2535
PRSC,Healthcare,Medical Care Facilities,3800
PSMT,Consumer Defensive,Discount Stores,9500
PTEN,Energy,Oil & Gas Drilling,5800
PUMP,Energy,Oil & Gas Equipment & Services,2200
PVAC,Energy,Oil & Gas E&P,94
QEP,Energy,Oil & Gas E&P,248
QNST,Communication Services,Advertising Agencies,592
RAVN,Industrials,Specialty Industrial Machinery,1362
RC,Real Estate,REIT-Mortgage,500
RCII,Industrials,Rental & Leasing Services,14500
RCM,Healthcare,Health Information Services,19000
RDNT,Healthcare,Diagnostics & Research,6165
REGI,Energy,Oil & Gas Refining & Marketing,829
RES,Energy,Oil & Gas Equipment & Services,2700
REX,Energy,Oil & Gas Refining & Marketing,128
REZI,Industrials,Security & Protection Services,13000
RGNX,Healthcare,Biotechnology,257
RGP,Industrials,Consulting Services,929
RGR,Industrials,Aerospace & Defense,1609
RGS,Consumer Cyclical,Personal Services,7000
RLGY,Real Estate,Real Estate Services,10150
RMAX,Real Estate,Real Estate Services,500
RMBS,Technology,Semiconductors,685
RNST,Financial Services,Banks-Regional,2527
ROCK,Industrials,Building Products & Equipment,1932
ROG,Technology,Electronic Components,3600
ROIC,Real Estate,REIT-Retail,73
RPAI,Real Estate,REIT-Retail,215
RPT,Real Estate,REIT-Retail,104
RRC,Energy,Oil & Gas E&P,655
RRGB,Consumer Cyclical,Restaurants,24586
RUTH,Consumer Cyclical,Restaurants,5740
RWT,Real Estate,REIT-Mortgage,372
RYAM,Basic Materials,Chemicals,4000
SAFE,Real Estate,REIT-Diversified,0
SAFT,Financial Services,Insurance-Property & Casualty,609
SAH,Consumer Cyclical,Auto & Truck Dealerships,9300
SAIA,Industrials,Trucking,10400
SANM,Technology,Electronic Components,30000
SBCF,Financial Services,Banks-Regional,968
SBH,Consumer Cyclical,Specialty Retail,30000
SBSI,Financial Services,Banks-Regional,845
SCHL,Communication Services,Publishing,8300
SCL,Basic Materials,Specialty Chemicals,2284
SCSC,Technology,Electronics & Computer Distribution,2200
SCVL,Consumer Cyclical,Apparel Retail,2200
SEM,Healthcare,Medical Care Facilities,35700
SENEA,Consumer Defensive,Packaged Foods,3200
SFBS,Financial Services,Banks-Regional,496
SFNC,Financial Services,Banks-Regional,2904
SGH,Technology,Semiconductors,1754
SHAK,Consumer Cyclical,Restaurants,7603
SHEN,Communication Services,Telecom Services,1130
SHOO,Consumer Cyclical,Footwear & Accessories,2500
SIG,Consumer Cyclical,Luxury Goods,26126
SITC,Real Estate,REIT-Retail,361
SJI,Utilities,Utilities-Diversified,1100
SKT,Real Estate,REIT-Retail,285
SKYW,Industrials,Airlines,13700
SLCA,Energy,Oil & Gas Equipment & Services,2177
SLP,Healthcare,Health Information Services,129
SM,Energy,Oil & Gas E&P,530
SMP,Consumer Cyclical,Auto Parts,4200
SNBR,Consumer Cyclical,"Furnishings, Fixtures & Appliances",4000
SNEX,Financial Services,Capital Markets,2950
SPOK,Communication Services,Telecom Services,613
SPPI,Healthcare,Biotechnology,146
SPSC,Technology,Software-Infrastructure,1363
SPTN,Consumer Defensive,Food Distribution,10400
SPXC,Industrials,Specialty Industrial Machinery,4500
SRDX,Healthcare,Diagnostics & Research,370
SSP,Communication Services,Broadcasting,5900
SSTK,Communication Services,Internet Content & Information,1116
STAR,Real Estate,REIT-Diversified,155
STBA,Financial Services,Banks-Regional,1201
STC,Financial Services,Insurance-Property & Casualty,5300
STMP,Technology,Software-Application,1313
SUPN,Healthcare,Drug Manufacturers-Specialty & Generic,464
SWM,Basic Materials,Paper & Paper Products,3400
SWN,Energy,Oil & Gas E&P,923
SXC,Basic Materials,Coking Coal,1171
SXI,Industrials,Specialty Industrial Machinery,3800
SYKE,Technology,Information Technology Services,54900
TALO,Energy,Oil & Gas E&P,440
TBI,Industrials,Staffing & Employment Services,6200
TBK,Financial Services,Banks-Regional,1122
TCMD,Healthcare,Medical Devices,629
TG,Basic Materials,Specialty Chemicals,3000
TGI,Industrials,Aerospace & Defense,9989
THRM,Consumer Cyclical,Auto Parts,11000
TILE,Consumer Cyclical,"Furnishings, Fixtures & Appliances",4110
TISI,Industrials,Specialty Business Services,5500
TMP,Financial Services,Banks-Regional,934
TMST,Basic Materials,Steel,2055
TNC,Industrials,Specialty Industrial Machinery,4373
TPRE,Financial Services,Insurance-Reinsurance,35
TRHC,Healthcare,Health Information Services,1286
TRST,Financial Services,Banks-Regional,771
TRUP,Financial Services,Insurance-Specialty,738
TSE,Basic Materials,Specialty Chemicals,2700
TTEC,Technology,Information Technology Services,56200
TTGT,Communication Services,Internet Content & Information,649
TTMI,Technology,Electronic Components,25700
TUP,Consumer Cyclical,Packaging & Containers,11300
TVTY,Healthcare,Medical Care Facilities,1000
TWI,Industrials,Farm & Heavy Construction Machinery,6200
UBA,Real Estate,REIT-Retail,105
UCBI,Financial Services,Banks-Regional,2414
UCTT,Technology,Semiconductor Equipment & Materials,3940
UEIC,Technology,Consumer Electronics,4347
UFCS,Financial Services,Insurance-Property & Casualty,1173
UFI,Consumer Cyclical,Textile Manufacturing,2560
UFPI,Basic Materials,Lumber & Wood Production,12000
UHT,Real Estate,REIT-Healthcare Facilities,0
UIHC,Financial Services,Insurance-Property & Casualty,363
UIS,Technology,Information Technology Services,20800
UNF,Industrials,Specialty Business Services,14000
UNFI,Consumer Defensive,Food Distribution,28300
UNIT,Real Estate,REIT-Specialty,899
USCR,Basic Materials,Building Materials,3173
USNA,Consumer Defensive,Household & Personal Products,1909
USPH,Healthcare,Medical Care Facilities,3200
UVE,Financial Services,Insurance-Property & Casualty,805
UVV,Consumer Defensive,Tobacco,24000
VBTX,Financial Services,Banks-Regional,676
VECO,Technology,Semiconductor Equipment & Materials,954
VG,Communication Services,Telecom Services,2264
VGR,Consumer Defensive,Tobacco,1418
VIAV,Technology,Communication Equipment,3600
VICR,Technology,Electronic Components,993
VIVO,Healthcare,Diagnostics & Research,0
VNDA,Healthcare,Biotechnology,284
VRA,Consumer Cyclical,Footwear & Accessories,2700
VREX,Healthcare,Medical Devices,2000
VRTS,Financial Services,Asset Management,578
VRTU,Technology,Information Technology Services,22883
VRTV,Industrials,Business Equipment & Supplies,8000
VSTO,Consumer Cyclical,Leisure,4400
VTOL,Energy,Oil & Gas Equipment & Services,0
VVI,Industrials,Specialty Business Services,5361
WABC,Financial Services,Banks-Regional,737
WD,Financial Services,Mortgage Finance,861
WDFC,Basic Materials,Specialty Chemicals,522
WDR,Financial Services,Asset Management,1162
WETF,Financial Services,Asset Management,211
WGO,Consumer Cyclical,Recreational Vehicles,5505
WIRE,Industrials,Electrical Equipment & Parts,1380
WNC,Industrials,Farm & Heavy Construction Machinery,6900
WRE,Real Estate,REIT-Office,125
WRLD,Financial Services,Credit Services,3744
WSR,Real Estate,REIT-Retail,85
WTS,Industrials,Specialty Industrial Machinery,4800
WWW,Consumer Cyclical,Footwear & Accessories,4000
XHR,Real Estate,REIT-Hotel & Motel,48
XNCR,Healthcare,Biotechnology,166
XPER,Technology,Semiconductor Equipment & Materials,1900
YETI,Consumer Cyclical,Leisure,790
ZEUS,Basic Materials,Steel,1551
ZUMZ,Consumer Cyclical,Apparel Retail,2575
ZYXI,Healthcare,Medical Devices,283
