,Ticker,pct change,Industry,Sector,FullTimeEmployees
0,ARR,84.78860294117648,Real Estate,REIT-Mortgage,0
1,EGRX,78.10984549453028,Healthcare,Drug Manufacturers-Specialty & Generic,108
2,HT,69.30147058823529,Real Estate,REIT-Hotel & Motel,49
3,ZYXI,60.0,Healthcare,Medical Devices,283
4,STMP,58.42532615637259,Technology,Software-Application,1313
5,LMAT,53.91304347826087,Healthcare,Medical Instruments & Supplies,454
6,FIZZ,52.15669014084507,Consumer Defensive,Beverages-Non-Alcoholic,1550
7,USCR,51.879984808203574,Basic Materials,Building Materials,3173
8,NEO,48.792884371029224,Healthcare,Diagnostics & Research,1700
9,HSKA,48.57807652533609,Healthcare,Diagnostics & Research,386
10,AMWD,48.57464366091523,Consumer Cyclical,"Furnishings, Fixtures & Appliances",9900
11,AAOI,47.90209790209791,Technology,Semiconductors,3115
12,COKE,46.55635307654374,Consumer Defensive,Beverages-Non-Alcoholic,14800
13,TSE,45.92198581560283,Basic Materials,Specialty Chemicals,2700
14,LGIH,45.869297163995064,Consumer Cyclical,Residential Construction,953
15,MXL,45.349626612355735,Technology,Semiconductors,697
16,HA,44.97594112652136,Industrials,Airlines,7087
17,SNEX,42.3789599521817,Financial Services,Capital Markets,2950
18,CORT,41.566265060240966,Healthcare,Biotechnology,206
19,FIX,41.41449683321605,Industrials,Engineering & Construction,12000
20,ROCK,40.4874213836478,Industrials,Building Products & Equipment,1932
21,JBT,39.41400762592815,Industrials,Specialty Industrial Machinery,6200
22,AMN,39.388083735909824,Healthcare,Medical Care Facilities,3236
23,MGPI,38.882466281310215,Consumer Defensive,Packaged Foods,341
24,FBC,38.51146689744699,Financial Services,Banks-Regional,4871
25,WD,38.389448108295724,Financial Services,Mortgage Finance,861
26,CCRN,37.58389261744966,Industrials,Staffing & Employment Services,1700
27,CENT,37.50000000000001,Consumer Defensive,Packaged Foods,5600
28,SUPN,36.75595238095238,Healthcare,Drug Manufacturers-Specialty & Generic,464
29,JRVR,36.195587358378056,Financial Services,Insurance-Specialty,800
30,SFBS,36.040395539659166,Financial Services,Banks-Regional,496
31,SLP,35.822401614530776,Healthcare,Health Information Services,129
32,CPE,34.65227817745803,Energy,Oil & Gas E&P,475
33,EXLS,34.60939238815936,Technology,Information Technology Services,31700
34,SKYW,34.016824395373284,Industrials,Airlines,13700
35,CENTA,33.088235294117645,Consumer Defensive,Packaged Foods,5600
36,CONN,32.93566254793353,Consumer Cyclical,Specialty Retail,4200
37,EGHT,32.66375545851528,Technology,Software-Application,1675
38,CPS,32.65884778966362,Consumer Cyclical,Auto Parts,28000
39,PLAB,32.5301204819277,Technology,Semiconductor Equipment & Materials,1728
40,JBSS,32.500462705904134,Consumer Defensive,Packaged Foods,1370
41,EGBN,32.236972458886456,Financial Services,Banks-Regional,515
42,RGR,32.22613655426942,Industrials,Aerospace & Defense,1609
43,CYTK,32.21797323135756,Healthcare,Biotechnology,156
44,CSGS,31.85102834908282,Technology,Software-Infrastructure,4339
45,CHUY,31.812380344607526,Consumer Cyclical,Restaurants,9000
46,FN,31.444164567590267,Technology,Electronic Components,11506
47,PLAY,31.14518447532344,Consumer Cyclical,Restaurants,15908
48,SHEN,30.987224157955858,Communication Services,Telecom Services,1130
49,GWB,30.392832529290146,Financial Services,Banks-Regional,1607
50,EBIX,30.314120158584927,Technology,Software-Application,7975
51,PPBI,30.07058823529412,Financial Services,Banks-Regional,989
