,Ticker,pct change,Industry,Sector,FullTimeEmployees
0,NBR,97.06715783508076,Energy,Oil & Gas Drilling,14000
1,ODP,92.08273894436519,Consumer Cyclical,Specialty Retail,40000
2,LPI,91.1840082009226,Energy,Oil & Gas E&P,280
3,TUP,80.01277139208173,Consumer Cyclical,Packaging & Containers,11300
4,CPE,78.55611150822016,Energy,Oil & Gas E&P,475
5,OMI,78.19575060954372,Healthcare,Medical Distribution,15400
6,LL,75.84126984126985,Consumer Cyclical,Home Improvement Retail,2090
7,GME,72.27436823104694,Consumer Cyclical,Specialty Retail,14000
8,TRUP,71.0318540702423,Financial Services,Insurance-Specialty,738
9,FLGT,70.38512616201858,Healthcare,Diagnostics & Research,473
10,VTOL,67.24876441515651,Energy,Oil & Gas Equipment & Services,0
11,LQDT,66.64576802507837,Consumer Cyclical,Internet Retail,574
12,VSTO,64.56843109203623,Consumer Cyclical,Leisure,4400
13,STMP,63.11828489379611,Technology,Software-Application,1313
14,REGI,63.02237230899112,Energy,Oil & Gas Refining & Marketing,829
15,AAWW,60.231316725978644,Industrials,Airports & Air Services,3587
16,MIK,59.95125913891146,Consumer Cyclical,Specialty Retail,12000
17,RRC,58.391123439667126,Energy,Oil & Gas E&P,655
18,CVET,57.483581057725544,Healthcare,Health Information Services,5100
19,COOP,56.969064998262084,Financial Services,Mortgage Finance,9100
20,PNTG,55.852842809364546,Healthcare,Medical Care Facilities,4700
21,SAIA,52.88836001730852,Industrials,Trucking,10400
22,ARNC,52.603996069439894,Industrials,Specialty Industrial Machinery,15400
23,KNSL,52.43211727469599,Financial Services,Insurance-Property & Casualty,275
24,UNFI,52.34943745863666,Consumer Defensive,Food Distribution,28300
25,RYAM,52.24806201550387,Basic Materials,Chemicals,4000
26,MYRG,51.92500836960161,Industrials,Engineering & Construction,7100
27,SWN,51.84049079754601,Energy,Oil & Gas E&P,923
28,TTGT,51.7575527265818,Communication Services,Internet Content & Information,649
29,MED,51.67533506701341,Consumer Cyclical,Personal Services,550
30,CORT,51.60427807486631,Healthcare,Biotechnology,206
31,DFIN,51.39484978540773,Financial Services,Capital Markets,2900
32,PRSC,50.990024183796855,Healthcare,Medical Care Facilities,3800
33,VIVO,50.82458770614693,Healthcare,Diagnostics & Research,0
34,BSIG,50.695931477516055,Financial Services,Asset Management,54
35,CENX,50.606909430438854,Basic Materials,Aluminum,2079
36,ARLO,50.23310023310024,Industrials,Security & Protection Services,358
37,YETI,49.65383550263085,Consumer Cyclical,Leisure,790
38,IIPR,49.40644431882419,Real Estate,REIT-Industrial,14
39,TTEC,49.3625701172871,Technology,Information Technology Services,56200
