Ticker,pct change,Industry,Sector,Full Time Emp,Year
EGRX,9.37736324678598,Healthcare,Drug Manufacturers-Specialty & Generic,108,2016
AMSF,18.187650360866083,Financial Services,Insurance-Specialty,431,2016
AVA,7.401850462615656,Utilities,Utilities-Diversified,1920,2016
CYH,-284.25760286225403,Healthcare,Medical Care Facilities,63000,2016
VRTS,25.455315544260905,Financial Services,Asset Management,578,2016
SBCF,32.8195829555757,Financial Services,Banks-Regional,968,2016
HT,18.279069767441857,Real Estate,REIT-Hotel & Motel,49,2016
AVAV,4.919865821841211,Industrials,Aerospace & Defense,823,2016
CIR,45.299013563501845,Industrials,Specialty Industrial Machinery,3200,2016
CONN,2.6086956521739135,Consumer Cyclical,Specialty Retail,4200,2016
HTLD,15.766208251473483,Industrials,Trucking,4050,2016
UVE,34.014084507042256,Financial Services,Insurance-Property & Casualty,805,2016
SKYW,58.7928669410151,Industrials,Airlines,13700,2016
OMI,1.813544913573252,Healthcare,Medical Distribution,15400,2016
INDB,35.11710432931157,Financial Services,Banks-Regional,1348,2016
HCI,15.780141843971624,Financial Services,Insurance-Property & Casualty,413,2016
UEIC,22.308288148721918,Technology,Consumer Electronics,4347,2016
GFF,42.06106870229008,Industrials,Tools & Accessories,7400,2016
BLMN,2.0521353300055516,Consumer Cyclical,Restaurants,94000,2016
WTS,24.43251533742331,Industrials,Specialty Industrial Machinery,4800,2016
SFNC,28.70474658085277,Financial Services,Banks-Regional,2904,2016
VICR,44.370860927152314,Technology,Electronic Components,993,2016
IRET,8.555399719495096,Real Estate,REIT-Residential,361,2016
ROIC,12.494084240416473,Real Estate,REIT-Retail,73,2016
CRY,48.66840731070496,Healthcare,Medical Devices,1200,2016
AAON,34.856278366111944,Industrials,Building Products & Equipment,2290,2016
MEI,36.977025392986704,Technology,Electronic Components,6044,2016
BCOR,41.49152542372881,Financial Services,Asset Management,690,2016
NSIT,41.567754698318495,Technology,Information Technology Services,11261,2016
CSGS,27.809917355371905,Technology,Software-Infrastructure,4339,2016
TTGT,6.7995310668229685,Communication Services,Internet Content & Information,649,2016
ECOL,30.88504577822991,Industrials,Waste Management,3800,2016
ABG,23.69529983792545,Consumer Cyclical,Auto & Truck Dealerships,8500,2016
