,Ticker,Industry_x,Sector_x,pct change,Industry_y,Sector_y,Full Time Emp
0,UHT,Real Estate,REIT-Healthcare Facilities,40.59304703476483,Real Estate,REIT-Healthcare Facilities,0
1,CRS,Industrials,Metal Fabrication,5.062274005624754,Industrials,Metal Fabrication,4600
2,CTB,Consumer Cyclical,Auto Parts,-22.43478260869566,Consumer Cyclical,Auto Parts,8720
3,FORM,Technology,Semiconductors,42.16403542549095,Technology,Semiconductors,1836
4,WIRE,Industrials,Electrical Equipment & Parts,6.097560975609756,Industrials,Electrical Equipment & Parts,1380
5,FIZZ,Consumer Defensive,Beverages-Non-Alcoholic,-64.32771462171696,Consumer Defensive,Beverages-Non-Alcoholic,1550
6,JOE,Real Estate,Real Estate-Diversified,21.533030761472506,Real Estate,Real Estate-Diversified,55
7,YETI,Consumer Cyclical,Leisure,51.09258194364577,Consumer Cyclical,Leisure,790
8,RAVN,Industrials,Specialty Industrial Machinery,-7.341845618107954,Industrials,Specialty Industrial Machinery,1362
9,HLX,Energy,Oil & Gas Equipment & Services,29.07580477673936,Energy,Oil & Gas Equipment & Services,1650
10,WGO,Consumer Cyclical,Recreational Vehicles,46.0173650434126,Consumer Cyclical,Recreational Vehicles,5505
11,MDP,Communication Services,Publishing,-67.13889744379429,Communication Services,Publishing,5290
12,NBR,Energy,Oil & Gas Drilling,-2.7777777777777803,Energy,Oil & Gas Drilling,14000
13,AZZ,Industrials,Electrical Equipment & Parts,2.6115342763873834,Industrials,Electrical Equipment & Parts,4343
14,TMST,Basic Materials,Steel,-61.959287531806616,Basic Materials,Steel,2055
15,AJRD,Industrials,Aerospace & Defense,13.556723609286022,Industrials,Aerospace & Defense,4814
16,CALM,Consumer Defensive,Farm Products,1.333333333333334,Consumer Defensive,Farm Products,3461
17,FCF,Financial Services,Banks-Regional,6.271536871123365,Financial Services,Banks-Regional,1399
18,CPK,Utilities,Utilities-Regulated Gas,5.488886569967656,Utilities,Utilities-Regulated Gas,955
19,SLP,Healthcare,Health Information Services,33.74613003095975,Healthcare,Health Information Services,129
20,BRC,Industrials,Security & Protection Services,21.91756898358365,Industrials,Security & Protection Services,5400
21,OMCL,Healthcare,Health Information Services,20.30102790014685,Healthcare,Health Information Services,2670
22,SHOO,Consumer Cyclical,Footwear & Accessories,24.087421529876774,Consumer Cyclical,Footwear & Accessories,2500
