,Ticker,pct change,Industry,Sector,FullTimeEmployees
0,BCEI,91.51866618339979,Energy,Oil & Gas E&P,125
1,ZYXI,90.56603773584906,Healthcare,Medical Devices,283
2,SPPI,75.4089709762533,Healthcare,Biotechnology,146
3,CONN,70.32348804500702,Consumer Cyclical,Specialty Retail,4200
4,GNL,62.34207968901846,Real Estate,REIT-Office,1
5,CORT,60.631229235880404,Healthcare,Biotechnology,206
6,CUTR,59.20617420066152,Healthcare,Medical Devices,447
7,LGIH,58.60322537651606,Consumer Cyclical,Residential Construction,953
8,LNTH,58.43520782396088,Healthcare,Diagnostics & Research,508
9,QNST,58.233890214797135,Communication Services,Advertising Agencies,592
10,EXTR,55.83067092651757,Technology,Communication Equipment,2584
11,GDOT,55.52605376700962,Financial Services,Credit Services,1200
12,PETS,53.42857142857142,Healthcare,Pharmaceutical Retailers,214
13,AVAV,53.36538461538461,Industrials,Aerospace & Defense,823
14,OSUR,53.23435843054083,Healthcare,Medical Instruments & Supplies,472
15,MYGN,52.88979472994614,Healthcare,Diagnostics & Research,2700
16,SGH,51.958456973293764,Technology,Semiconductors,1754
17,CMTL,51.49186256781193,Technology,Communication Equipment,2034
18,ROG,50.62376482213439,Technology,Electronic Components,3600
19,LL,50.111500477859195,Consumer Cyclical,Home Improvement Retail,2090
20,TRHC,49.87522281639929,Healthcare,Health Information Services,1286
21,PRLB,49.029126213592235,Industrials,Metal Fabrication,2535
22,FIZZ,48.491379310344826,Consumer Defensive,Beverages-Non-Alcoholic,1550
23,ACLS,47.038327526132406,Technology,Semiconductor Equipment & Materials,960
24,MCRI,46.98795180722891,Consumer Cyclical,Resorts & Casinos,2300
25,TCMD,46.82539682539682,Healthcare,Medical Devices,629
26,SNBR,46.315509444001066,Consumer Cyclical,"Furnishings, Fixtures & Appliances",4000
27,IBP,46.14878209348256,Industrials,Building Products & Equipment,8500
28,INGN,45.94390325831373,Healthcare,Medical Devices,1020
29,UCTT,45.73408401905587,Technology,Semiconductor Equipment & Materials,3940
30,TRUP,45.37068670994192,Financial Services,Insurance-Specialty,738
31,AMWD,45.33589251439539,Consumer Cyclical,"Furnishings, Fixtures & Appliances",9900
32,MGPI,44.8621227887617,Consumer Defensive,Packaged Foods,341
33,RCM,44.78458049886621,Healthcare,Health Information Services,19000
34,RGNX,44.3609022556391,Healthcare,Biotechnology,257
35,KRA,44.2391529997924,Basic Materials,Specialty Chemicals,1944
36,ENTA,43.54976141785958,Healthcare,Biotechnology,141
37,WGO,43.52517985611511,Consumer Cyclical,Recreational Vehicles,5505
38,RDNT,42.57425742574257,Healthcare,Diagnostics & Research,6165
39,IIPR,42.47137109254101,Real Estate,REIT-Industrial,14
40,CROX,42.24683544303798,Consumer Cyclical,Footwear & Accessories,3803
41,VRTU,42.19600725952813,Technology,Information Technology Services,22883
42,AJRD,41.955128205128204,Industrials,Aerospace & Defense,4814
43,MMSI,41.20370370370371,Healthcare,Medical Instruments & Supplies,6000
44,FOE,40.059347181008896,Basic Materials,Specialty Chemicals,5922
45,COHU,39.863325740318906,Technology,Semiconductor Equipment & Materials,3200
46,MED,39.59318149262283,Consumer Cyclical,Personal Services,550
47,FBK,39.366515837104075,Financial Services,Banks-Regional,1377
48,WRLD,39.20961347869177,Financial Services,Credit Services,3744
49,ASIX,38.935108153078204,Basic Materials,Chemicals,1520
50,MTOR,38.491048593350385,Consumer Cyclical,Auto Parts,8600
51,SLP,37.88819875776398,Healthcare,Health Information Services,129
52,BCC,37.84461152882205,Basic Materials,Lumber & Wood Production,5900
53,ICHR,37.23577235772358,Technology,Semiconductor Equipment & Materials,1355
54,GLUU,36.813186813186825,Communication Services,Electronic Gaming & Multimedia,715
55,TTGT,36.70977011494252,Communication Services,Internet Content & Information,649
56,LPSN,36.52173913043478,Technology,Software-Application,1213
57,NMIH,36.470588235294116,Financial Services,Insurance-Property & Casualty,261
58,BOOM,36.32734530938124,Energy,Oil & Gas Equipment & Services,741
59,CVCO,35.61598951507208,Consumer Cyclical,Residential Construction,5000
60,STMP,35.34574468085106,Technology,Software-Application,1313
61,PRSC,34.86686889113583,Healthcare,Medical Care Facilities,3800
62,KNSL,34.77777777777777,Financial Services,Insurance-Property & Casualty,275
63,BOOT,34.67790487658037,Consumer Cyclical,Apparel Retail,1100
64,PBF,34.58392101551481,Energy,Oil & Gas Refining & Marketing,3442
65,CVGW,34.478672985782,Consumer Defensive,Packaged Foods,3657
66,OFIX,34.29616087751372,Healthcare,Medical Devices,1055
67,PRGS,34.178999295278366,Technology,Software-Application,1538
68,WD,33.873684210526314,Financial Services,Mortgage Finance,861
69,RYAM,33.64303178484107,Basic Materials,Chemicals,4000
70,ANF,33.39070567986231,Consumer Cyclical,Apparel Retail,8000
71,SKYW,33.333333333333336,Industrials,Airlines,13700
72,PLCE,33.26453388372892,Consumer Cyclical,Apparel Retail,3900
73,ALG,32.99370957738992,Industrials,Farm & Heavy Construction Machinery,4270
74,PUMP,32.787698412698404,Energy,Oil & Gas Equipment & Services,2200
75,SUPN,32.12045169385195,Healthcare,Drug Manufacturers-Specialty & Generic,464
76,SAIA,32.084805653710255,Industrials,Trucking,10400
77,HCC,32.04771371769383,Basic Materials,Coking Coal,1417
78,CPRI,31.99364575059571,Consumer Cyclical,Apparel Manufacturing,10834
79,PGTI,31.750741839762618,Industrials,Building Products & Equipment,3000
80,IVC,31.750741839762618,Healthcare,Medical Devices,3900
81,BCOR,31.674208144796385,Financial Services,Asset Management,690
82,FBC,31.133083912346343,Financial Services,Banks-Regional,4871
83,VG,30.28515240904622,Communication Services,Telecom Services,2264
84,EBIX,29.96845425867508,Technology,Software-Application,7975
85,CAMP,29.9113392440504,Technology,Communication Equipment,1080
86,TVTY,29.822161422708614,Healthcare,Medical Care Facilities,1000
87,KFY,29.797003383276948,Industrials,Staffing & Employment Services,8198
88,SEM,29.461756373937675,Healthcare,Medical Care Facilities,35700
89,EHTH,29.418537708693155,Financial Services,Insurance Brokers,1500
90,MYE,29.230769230769226,Consumer Cyclical,Packaging & Containers,1640
91,GIII,28.81539712659257,Consumer Cyclical,Apparel Retail,4000
92,LMAT,28.674623115577884,Healthcare,Medical Instruments & Supplies,454
93,ITGR,28.47682119205298,Healthcare,Medical Devices,8250
94,HSC,28.418230563002677,Industrials,Specialty Industrial Machinery,10500
95,ALRM,28.23841059602649,Technology,Software-Application,1361
96,MTH,28.222656250000007,Consumer Cyclical,Residential Construction,1510
97,KLIC,27.773212818405923,Technology,Semiconductor Equipment & Materials,2544
98,TILE,27.634194831013914,Consumer Cyclical,"Furnishings, Fixtures & Appliances",4110
99,CRVL,27.5047258979206,Financial Services,Insurance Brokers,3824
100,NPO,27.376751149609674,Industrials,Specialty Industrial Machinery,5300
101,AMN,27.208121827411162,Healthcare,Medical Care Facilities,3236
102,RAVN,27.074235807860266,Industrials,Specialty Industrial Machinery,1362
103,BRKS,26.96016771488469,Technology,Semiconductor Equipment & Materials,3159
104,MHO,26.918604651162788,Consumer Cyclical,Residential Construction,1401
105,CCS,26.848874598070744,Consumer Cyclical,Residential Construction,1460
106,OXM,26.825375714855692,Consumer Cyclical,Apparel Manufacturing,6100
107,VICR,26.794258373205732,Technology,Electronic Components,993
108,FLOW,26.624605678233433,Industrials,Specialty Industrial Machinery,5000
109,KALU,26.569957884885355,Basic Materials,Aluminum,2585
110,ECPG,26.484560570071263,Financial Services,Mortgage Finance,7300
111,TTEC,26.459627329192543,Technology,Information Technology Services,56200
112,SXC,26.438698915763137,Basic Materials,Coking Coal,1171
113,WWW,26.31744040150565,Consumer Cyclical,Footwear & Accessories,4000
114,REGI,26.271186440677972,Energy,Oil & Gas Refining & Marketing,829
115,OMCL,25.979381443298973,Healthcare,Health Information Services,2670
116,EPAY,25.83621683967705,Technology,Software-Infrastructure,2000
117,INVA,25.299506694855534,Healthcare,Biotechnology,5
118,UFI,25.034848062447722,Consumer Cyclical,Textile Manufacturing,2560
119,AVA,24.956302194600894,Utilities,Utilities-Diversified,1920
120,CPSI,24.792013311148082,Healthcare,Health Information Services,2000
121,PARR,24.63692946058092,Energy,Oil & Gas Refining & Marketing,1408
122,SHOO,24.625267665952887,Consumer Cyclical,Footwear & Accessories,2500
123,AWR,24.39993092730098,Utilities,Utilities-Regulated Water,841
124,GES,24.348341232227487,Consumer Cyclical,Apparel Retail,15800
125,B,23.929192350244982,Industrials,Specialty Industrial Machinery,5749
126,CWT,23.925027563395812,Utilities,Utilities-Regulated Water,1224
127,EXLS,23.860811930405962,Technology,Information Technology Services,31700
128,HNGR,23.682539682539687,Healthcare,Medical Care Facilities,4800
129,BANC,23.4866828087167,Financial Services,Banks-Regional,600
130,CEVA,23.401950162513536,Technology,Semiconductors,382
131,CHCT,23.238434163701072,Real Estate,REIT-Healthcare Facilities,25
132,AEL,23.202082655385613,Financial Services,Insurance-Life,608
133,BEAT,22.90969899665551,Healthcare,Diagnostics & Research,1700
134,AIN,22.78275020341741,Consumer Cyclical,Textile Manufacturing,4000
135,FSS,22.64808362369338,Industrials,Pollution & Treatment Controls,3600
136,FIX,22.451317296678116,Industrials,Engineering & Construction,12000
137,UNF,22.437841115827773,Industrials,Specialty Business Services,14000
138,MANT,22.414823670053796,Technology,Software-Application,8900
139,MGLN,22.371828068358358,Healthcare,Healthcare Plans,10100
140,JBT,22.06678700361011,Industrials,Specialty Industrial Machinery,6200
141,TPRE,21.84300341296929,Financial Services,Insurance-Reinsurance,35
142,USCR,21.69754931261208,Basic Materials,Building Materials,3173
143,CENX,21.58859470468432,Basic Materials,Aluminum,2079
144,COKE,21.56461952987085,Consumer Defensive,Beverages-Non-Alcoholic,14800
145,IPAR,21.518987341772153,Consumer Defensive,Household & Personal Products,402
146,CRS,21.514022357324965,Industrials,Metal Fabrication,4600
147,FARO,21.063829787234038,Technology,Scientific & Technical Instruments,1818
148,IRBT,21.043024771838333,Technology,Consumer Electronics,1159
149,MMI,20.97516099356026,Real Estate,Real Estate Services,877
150,VVI,20.848375451263536,Industrials,Specialty Business Services,5361
151,RUTH,20.785219399538107,Consumer Cyclical,Restaurants,5740
152,AGYS,20.765472312703576,Technology,Software-Application,1275
153,UIHC,20.753623188405797,Financial Services,Insurance-Property & Casualty,363
154,GMS,20.722635494155156,Industrials,Building Products & Equipment,5308
155,KOP,20.530451866404707,Basic Materials,Specialty Chemicals,2120
156,SPXC,20.516087926091114,Industrials,Specialty Industrial Machinery,4500
157,FORM,20.44728434504793,Technology,Semiconductors,1836
158,PAHC,20.29850746268657,Healthcare,Drug Manufacturers-Specialty & Generic,1700
159,BLMN,19.821930646672918,Consumer Cyclical,Restaurants,94000
160,MDRX,19.51890034364261,Healthcare,Health Information Services,9600
161,CADE,19.395280235988206,Financial Services,Banks-Regional,1800
162,SHEN,19.378698224852066,Communication Services,Telecom Services,1130
163,BMI,19.351464435146447,Industrials,Electrical Equipment & Parts,1567
164,CUB,19.338422391857517,Industrials,Aerospace & Defense,6100
165,RCII,19.27927927927927,Industrials,Rental & Leasing Services,14500
166,WDR,19.20322291853178,Financial Services,Asset Management,1162
167,MTRN,19.13580246913581,Basic Materials,Other Industrial Metals & Mining,2600
168,PRDO,19.122516556291394,Consumer Defensive,Education & Training Services,2250
169,EZPW,18.852459016393436,Financial Services,Credit Services,6800
170,MIK,18.685407193054978,Consumer Cyclical,Specialty Retail,12000
171,AAOI,18.667371760973026,Technology,Semiconductors,3115
172,ELY,18.66475233309404,Consumer Cyclical,Leisure,4200
173,WNC,18.66359447004609,Industrials,Farm & Heavy Construction Machinery,6900
174,AIR,18.57979129549504,Industrials,Aerospace & Defense,4200
175,CHEF,18.53658536585366,Consumer Defensive,Food Distribution,2447
176,NSA,18.378576669112256,Real Estate,REIT-Industrial,459
177,CENTA,18.37708830548926,Consumer Defensive,Packaged Foods,5600
178,EXPO,18.354430379746834,Industrials,Consulting Services,901
179,IVR,18.283791362871554,Real Estate,REIT-Mortgage,0
180,ARR,18.27371695178849,Real Estate,REIT-Mortgage,0
181,SHAK,18.26388888888889,Consumer Cyclical,Restaurants,7603
182,PIPR,18.26086956521739,Financial Services,Capital Markets,1510
