Ticker,pct change,Sector,Industry,Full Time Emp,Year
IVR,-418.9910979228486,Real Estate,REIT-Mortgage,0.0,2020
GLUU,37.69799366420274,Communication Services,Electronic Gaming & Multimedia,715.0,2020
KALU,-3.846951472418092,Basic Materials,Aluminum,2585.0,2020
EHTH,-44.80859267419442,Financial Services,Insurance Brokers,1500.0,2020
DXPE,-45.7335014712064,Industrials,Industrial Distribution,2747.0,2020
CUTR,-27.68463978251019,Healthcare,Medical Devices,447.0,2020
FCF,-26.829268292682922,Financial Services,Banks-Regional,1399.0,2020
TCMD,-44.744976816074185,Healthcare,Medical Devices,629.0,2020
WABC,-15.578256110908425,Financial Services,Banks-Regional,737.0,2020
BLMN,-10.537519957424164,Consumer Cyclical,Restaurants,94000.0,2020
RLGY,24.999999999999996,Real Estate,Real Estate Services,10150.0,2020
FIZZ,47.93107632568863,Consumer Defensive,Beverages-Non-Alcoholic,1550.0,2020
PCRX,27.834362998831192,Healthcare,Drug Manufacturers-Specialty & Generic,606.0,2020
LL,75.84126984126985,Consumer Cyclical,Home Improvement Retail,2090.0,2020
TGI,-38.60244233378561,Industrials,Aerospace & Defense,9989.0,2020
CRS,-33.759676876472575,Industrials,Metal Fabrication,4600.0,2020
ATI,-1.4705882352941175,Industrials,Metal Fabrication,8100.0,2020
SCL,17.39931340534204,Basic Materials,Specialty Chemicals,2284.0,2020
CVCO,-24.172717698575475,Consumer Cyclical,Residential Construction,5000.0,2020
LNN,19.82848441131682,Industrials,Farm & Heavy Construction Machinery,1125.0,2020
EAT,22.59292837715322,Consumer Cyclical,Restaurants,62200.0,2020
BGS,44.92455418381345,Consumer Defensive,Packaged Foods,2952.0,2020
CCS,33.295863309352505,Consumer Cyclical,Residential Construction,1460.0,2020
FHB,-23.24003392705683,Financial Services,Banks-Regional,2099.0,2020
BCC,24.077181208053684,Basic Materials,Lumber & Wood Production,5900.0,2020
SSP,17.471108089734873,Communication Services,Broadcasting,5900.0,2020
UFI,-16.70281995661604,Consumer Cyclical,Textile Manufacturing,2560.0,2020
BRKS,49.14529914529914,Technology,Semiconductor Equipment & Materials,3159.0,2020
ELY,9.467455621301768,Consumer Cyclical,Leisure,4200.0,2020
AAT,-53.34904072702794,Real Estate,REIT-Diversified,199.0,2020
HI,23.78577054344973,Industrials,Specialty Industrial Machinery,11000.0,2020
MYE,15.464994775339608,Consumer Cyclical,Packaging & Containers,1640.0,2020
DSPG,13.257348530293944,Technology,Semiconductors,340.0,2020
UCTT,31.923076923076916,Technology,Semiconductor Equipment & Materials,3940.0,2020
BNED,8.510638297872337,Consumer Cyclical,Specialty Retail,3400.0,2020
DNOW,-50.07496251874063,Energy,Oil & Gas Equipment & Services,2600.0,2020
ALGT,3.51954986507435,Industrials,Airlines,4275.0,2020
EXTN,-12.734864300626311,Energy,Oil & Gas Equipment & Services,3600.0,2020
REGI,63.02237230899112,Energy,Oil & Gas Refining & Marketing,829.0,2020
EXTR,10.19786910197869,Technology,Communication Equipment,2584.0,2020
VG,33.75653472740852,Communication Services,Telecom Services,2264.0,2020
FMBI,-27.168367346938787,Financial Services,Banks-Regional,2122.0,2020
MMSI,34.105301248416865,Healthcare,Medical Instruments & Supplies,6000.0,2020
