Ticker,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
AAOI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.522984676882079,-21.479500891265594,47.90209790209791,30.162116040955635,18.667371760973026,-109.91574854180169,-46.296296296296276,-34.36385255648038
AAON,0.0,9.892594686263436,6.007355946056391,-6.8909386869234925,16.58938691396187,-18.481642812694453,19.015659955257263,26.940639269406397,-38.64783047426842,14.75095785440612,7.029245767060019,27.01169797943992,-31.429965836993663,3.114518447532353,28.82629107981221,-32.46985261277356,6.072351421188631,34.856278366111944,7.493188010899182,-3.8220193953222936,25.237806112123053,17.064684485212712
AAT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.119453924914661,20.730397422126742,8.04963410754057,15.925646822406438,-15.723598435462844,13.207985143918286,-12.264644351464428,12.22305202887728,6.448801742919392,-53.34904072702794
AAWW,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.865168539325842,11.563998524529687,-164.23280423280426,61.046979865771824,34.318466774135764,-32.2144158209732,-7.479693140794219,-9.57472660996356,28.336713995943203,-9.337203676826316,29.568552253116014,10.059676044330773,-33.44394406257407,-93.03590859630032,60.231316725978644
ABCB,0.0,-8.053333333333342,19.47565543071161,-4.247104247104253,13.354037267080757,11.477761836441887,-2.520161290322581,27.111426543647983,-53.056379821958444,-33.164556962025316,-6.983240223463687,11.385199240986712,7.295719844357977,14.331465172137717,37.186167693036474,20.1638065522621,29.008531921153285,33.64678899082569,6.431535269709546,-69.08746447742341,10.789844851904082,-2.5255102040816197
ABG,0.0,0.0,0.0,-133.769322235434,52.26130653266331,-26.632801161103046,-2.5516403402187007,23.599320882852286,-62.52491694352159,-211.15973741794312,68.95056374674762,40.0974025974026,14.610389610389603,28.473306275366845,33.82954968366207,38.06638566912539,-10.038552787663102,23.69529983792545,-2.499999999999991,-8.985898589859,36.8011450040254,32.641944269851244
ABM,0.0,33.07215148547176,3.1897926634768736,-96.7741935483871,12.636415852958066,8.468559837728186,6.3938618925831205,15.852047556142674,-26.728788621873463,-8.766404199475057,28.121974830590514,26.15969581749049,-24.63627546071774,-8.771929824561404,23.329835606855536,6.945898778359506,-1.4049877063575769,26.469147894221358,-7.078472958642634,-18.436624104640302,9.33439405993106,7.201946472019466
ABTX,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.5792811839323595,48.68603042876901,13.811420982735715,-24.806919987642885,4.468085106382977,-6.316090311517579
ACA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2639942217407056,33.93939393939394,19.325096809883824
ACLS,0.0,-103.49295774647887,13.188518231186974,-144.96345159564984,35.6377799415774,-54.981549815498134,-56.60377358490567,-8.404802744425389,-40.00000000000002,-682.3529411764706,79.7872340425532,56.64739884393064,-160.90225563909775,-30.434782608695667,44.67213114754098,5.468750000000004,7.335907335907334,81.99312714776632,47.038327526132406,-45.505617977528075,13.55052915542644,16.17493925720236
ADC,0.0,0.0,14.061654948620866,7.100591715976328,37.800565770862804,6.784474597664884,0.0,13.00552807681117,-19.435215946843858,-62.82404853833425,40.96178617432374,25.200458190148918,4.6349466776045904,6.830907054871214,2.2742935906271544,8.041170794467673,-1.9123271550455974,19.826275787187832,8.825816485225504,18.572395128552095,5.899957246686619,-13.007888078583136
ADTN,0.0,-204.70588235294116,-10.227272727272725,18.29787234042553,-8.102893890675228,-79.83281086729363,39.71726691349714,-29.207048458149774,-3.6482694106641773,-39.852150537634394,32.8159645232816,41.452637392985366,-36.37267904509285,-77.2262026612078,25.21288411699371,-16.46788990825688,-28.397212543554012,18.747203579418347,-13.178294573643395,-48.97579143389199,-47.4216380182002,38.225255972696246
ADUS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.326086956521733,-115.12195121951223,-29.691876750700285,48.93676552881925,63.11804008908686,2.595797280593321,4.725085910652927,39.486447931526385,1.867816091954019,47.18621096051855,38.130014400329145,12.47796641617961
AEGN,0.0,35.105315947843536,-35.340109460516025,-41.114369501466264,16.787878787878785,29.59858844287605,18.895198760970572,1.740139211136888,-88.58108108108107,35.500253936008136,17.42957746478872,22.74613353451528,-79.33507170795308,23.073456511942318,-7.446322521699401,-10.263299301450834,20.662868979803203,23.92405063291139,8.53322847031065,-53.67647058823528,18.864550737595003,-7.676455435342598
AEIS,0.0,-126.13333333333334,-15.202702702702705,-102.0440251572327,59.309021113243766,-145.1259583789704,39.56043956043956,16.905140434552205,-32.492354740061145,-8.643216080402023,40.45092838196286,3.812316715542532,-43.94221808014911,22.94824352410401,32.85214348206475,-15.189873417721525,14.984059511158343,48.71232876712329,12.803793716656786,-65.68832983927322,27.963483146067418,30.40103492884864
AEL,0.0,0.0,0.0,0.0,0.0,-10.956360259981428,19.463601532567058,-7.828089025326181,-54.52352231604345,-18.714285714285722,10.080645161290322,41.51394422310757,-21.923076923076916,5.5692055692055815,48.900682335102346,24.803014731072288,-6.158967956720767,19.29902395740904,23.202082655385613,-18.110236220472437,-4.644169729368529,4.6914471309996415
