,Ticker,pct change,Industry,Sector,FullTimeEmployees
0,COOP,91.91945158526136,Financial Services,Mortgage Finance,9100
1,IRET,88.44507845934379,Real Estate,REIT-Residential,361
2,REGI,58.36575875486382,Energy,Oil & Gas Refining & Marketing,829
3,EHTH,54.398750650702766,Financial Services,Insurance Brokers,1500
4,GLUU,53.655514250309785,Communication Services,Electronic Gaming & Multimedia,715
5,FN,51.646852465406354,Technology,Electronic Components,11506
6,VICR,51.574490605980415,Technology,Electronic Components,993
7,FOSL,49.39605848696758,Consumer Cyclical,Luxury Goods,10200
8,CROX,47.998460354118556,Consumer Cyclical,Footwear & Accessories,3803
9,ADUS,47.18621096051855,Healthcare,Medical Care Facilities,5002
10,GKOS,46.57290368524123,Healthcare,Medical Instruments & Supplies,600
11,EVTC,45.47038327526132,Technology,Software-Infrastructure,2300
12,MED,45.04079347304432,Consumer Cyclical,Personal Services,550
13,TRHC,43.804893350062734,Healthcare,Health Information Services,1286
14,BEAT,42.81647689216343,Healthcare,Diagnostics & Research,1700
15,QNST,42.513863216266174,Communication Services,Advertising Agencies,592
16,ENSG,40.62902810002578,Healthcare,Medical Care Facilities,24500
17,VNDA,39.34175277458859,Healthcare,Biotechnology,284
18,HMSY,39.1041592605759,Healthcare,Health Information Services,3100
19,NEO,38.77874702616971,Healthcare,Diagnostics & Research,1700
20,SRDX,38.002539145154465,Healthcare,Diagnostics & Research,370
21,XNCR,37.05752212389379,Healthcare,Biotechnology,166
22,IIPR,37.05662040096938,Real Estate,REIT-Industrial,14
23,LPSN,36.638388123011666,Technology,Software-Application,1213
24,USNA,36.59220249723945,Consumer Defensive,Household & Personal Products,1909
25,CRMT,36.36991028295376,Consumer Cyclical,Auto & Truck Dealerships,1750
26,CHEF,36.366479049405875,Consumer Defensive,Food Distribution,2447
27,SPSC,36.149550861859666,Technology,Software-Infrastructure,1363
28,RGNX,36.11442193087009,Healthcare,Biotechnology,257
29,RCM,35.22012578616352,Healthcare,Health Information Services,19000
30,BOOM,34.79498861047836,Energy,Oil & Gas Equipment & Services,741
31,ITGR,34.238132703907695,Healthcare,Medical Devices,8250
32,MCS,34.177215189873415,Communication Services,Entertainment,3465
33,LOCO,33.75082399472643,Consumer Cyclical,Restaurants,5005
34,CRY,33.57998590556729,Healthcare,Medical Devices,1200
35,RCII,33.10685608400247,Industrials,Rental & Leasing Services,14500
36,WDFC,32.47298919567827,Basic Materials,Specialty Chemicals,522
37,MLAB,32.093670521618115,Technology,Scientific & Technical Instruments,460
38,SCVL,31.811399582214257,Consumer Cyclical,Apparel Retail,2200
39,HCI,31.21432788821098,Financial Services,Insurance-Property & Casualty,413
40,IRDM,31.165311653116532,Communication Services,Telecom Services,497
41,TCMD,30.77936333699231,Healthcare,Medical Devices,629
42,OFG,30.741190765492103,Financial Services,Banks-Regional,2405
